annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
first40,train,first40-0009,C,and if you disable speech recognition system then?,,,,,,,pending,
first40,train,first40-0027,C,Can you give me an overview of the reviews of the restaurant? Are they mostly positive?,,,,,,,pending,
first40,train,first40-0026,C,"Yeah I'm I'm no I'm not definitely convinced it's it's the best way to if you wanna jump from, I dunno, one to twenty?",,,,,,,pending,
first40,train,first40-0029,C,"And do you have another idea that urr if you have some place that you umm you love very much, and you have at you've ever been there",,,,,,,pending,
first40,train,first40-0024,C,"Urm nearly fine, but kind of sleepy",,,,,,,pending,
first40,train,first40-0017,C,"Yes, could I please have five splendors?",,,,,,,pending,
first40,train,first40-0021,C,"Traffic is so terrible, I think",,,,,,,pending,
first40,train,first40-0004,C,So did you have any recommend bag,,,,,,,pending,
first40,train,first40-0028,C,I'm great. How are you?,,,,,,,pending,
first40,train,first40-0046,C,And mm the basically I think it's basically er love story,,,,,,,pending,
first40,train,first40-0015,C,"Chris Dowling Okay, cool.",,,,,,,pending,
first40,train,first40-0039,C,Well do you know some err windows company or fixing company or anything,,,,,,,pending,
first40,train,first40-0040,C,"Anyone, just one that's ASAP, the next showing today.",,,,,,,pending,
first40,train,first40-0011,C,"Great, thank you. Goodbye.",,,,,,,pending,
first40,train,first40-0041,C,Can I describe another the this picture,,,,,,,pending,
first40,train,first40-0010,C,"I want to uhm I can enjoy I can't enjoy matsuri , but I can enjoy sports uhm or uhm so I I don't know why people uh excited in matsuri",,,,,,,pending,
first40,train,first40-0036,C,and uh the technology that was in that one wasn't particularly amazing,,,,,,,pending,
first40,train,first40-0003,C,"Tim, can you start?",,,,,,,pending,
first40,train,first40-0016,C,"Awesome, can you also tell me how long the movie is?",,,,,,,pending,
first40,train,first40-0034,C,Does Basil serve nonalcoholic beverages?,,,,,,,pending,
first40,train,first40-0020,C,Okay. Do they have a kid's menu?,,,,,,,pending,
first40,train,first40-0022,C,Is that er discount,,,,,,,pending,
first40,train,first40-0023,C,Sounds brilliant to me.,,,,,,,pending,
first40,train,first40-0032,C,What do I miss most about America,,,,,,,pending,
first40,train,first40-0044,C,Ah would you explain what's the difference,,,,,,,pending,
first40,train,first40-0014,C,are particularly bothering you?,,,,,,,pending,
first40,train,first40-0007,C,Um but have you any idea so far as what uh the user requirements are?,,,,,,,pending,
first40,train,first40-0005,C,"Because mm dog is really loyal to any other human beings On the other hand, cat is not",,,,,,,pending,
first40,train,first40-0012,C,"Nay that that that's true, that's true. They're definitely needed.",,,,,,,pending,
first40,train,first40-0042,C,I hate my dog But I can't come to your party,,,,,,,pending,
first40,train,first40-0008,C,and then it go,,,,,,,pending,
first40,train,first40-0019,C,I think compared to say just pressing buttons.,,,,,,,pending,
first40,train,first40-0047,C,Yeah. Fine. Beautiful. Wonderful.,,,,,,,pending,
first40,train,first40-0002,C,How much er each each other,,,,,,,pending,
first40,train,first40-0038,C,Do you have any kind of express,,,,,,,pending,
first40,train,first40-0001,C,so if we were uh definitely gonna go with the the voice option we'd probably have to design um our own chip.,,,,,,,pending,
first40,train,first40-0031,C,"uhm I'm looking forward to seeing er er ""Wednesday Love Affair""",,,,,,,pending,
first40,train,first40-0013,C,Urr I love dog But I can't take it home,,,,,,,pending,
first40,train,first40-0037,C,"Awesome, thank you. What is the price?",,,,,,,pending,
first40,train,first40-0049,C,"And this person who was, er driving the motorcycle, he was quite angry because he was really having a really nice conversation with his girlfriend",,,,,,,pending,
first40,train,first40-0025,C,"Yeah. Good morning, Assistant.",,,,,,,pending,
first40,train,first40-0030,C,What do I usually do,,,,,,,pending,
first40,train,first40-0018,C,Why are you looking at me?,,,,,,,pending,
first40,train,first40-0045,C,"I just love you tech guys, huh.",,,,,,,pending,
first40,train,first40-0035,C,"Um so uum of course, er I love him and I I was crying heavily",,,,,,,pending,
first40,train,first40-0006,C,Feel like feel like feel like fallingly falling in love,,,,,,,pending,
first40,train,first40-0050,C,What's the average price looking like?,,,,,,,pending,
first40,train,first40-0033,C,May I have a question,,,,,,,pending,
first40,train,first40-0043,C,"Fantastic, do they offer craft bear at that option?",,,,,,,pending,
first40,train,first40-0048,C,But it's very eeh fantastic city for me,,,,,,,pending,
