review_id,utterance,previous_turn,next_turn,prev_Formality,prev_Energy,prev_Intimacy,prev_Curiosity,reviewed_Humor,reviewer_notes
gold-0101,Er well it was really terrible,Can you tell me what happened? How did you deal with that ?,he was lucky . Mm .,20,45,35,0,0,"Formality 35로; Energy 50로; Intimacy 20로; 근거 F1/F2·E1·I1·H1·C1: F=Er well의 구어적 도입; E=really terrible의 강한 부정 평가; I=개인적 평가이나 구체적 자기공개는 적음; H=문자적 불평; C=정보를 구하지 않는 진술"
gold-0102,Both course is great,Oh .,Oh I'm glad to hear that .,25,55,15,0,0,"Formality 40로; Energy 40로; Intimacy 10로; 근거 F1/F2·E1·I1·H1·C1: F=평이한 일상 진술이며 문법 오류로 무례함을 추론하지 않음; E=great의 긍정 평가; I=대상 평가만 있고 관계 표현은 적음; H=칭찬 자체는 농담이 아님; C=정보 탐색 없음"
gold-0103,Err I love Chinese Chinese dishes,Right. What's your specialty?,Hm .,20,50,30,0,0,"Formality 35로; Energy 45로; Intimacy 35로; 근거 F1/F2·E1·I1·H1·C1: F=Err와 자기반복이 있는 구어체; E=love로 강한 선호 표현; I=음식 취향의 자기공개; H=음식에 대한 진지한 선호; C=질문 없음"
gold-0104,it's safety but food is terrible,Hum .,Really?,25,45,15,0,0,"Formality 40로; Intimacy 10로; 근거 F1/F2·E1·I1·H1·C1: F=평이한 평가 문장; E=terrible의 부정 강조; I=대상 평가에 한정; H=대조 구조만으로 농담 의도를 확인할 수 없음; C=의견 진술"
gold-0105,So so so so well how much er how much money er do I need to buy it,"It yeah, it leaves in fifteen minutes.",Two hundred dollars .,20,40,10,90,0,"Formality 30로; Energy 30로; Intimacy 5로; Curiosity 65로; 근거 F1/F2·E1·I1·H1·C1: F=반복과 머뭇거림이 있는 직접 질문; E=가격을 차분하게 확인하며 반복은 흥분 근거가 아님; I=거래 목적; H=유머 구조 없음; C=필요 금액을 명시적으로 질문"
gold-0106,"Because urr err we like my husband I like having party but er so err our err party friend almost err people have no children or err already children grew up so err always yes, err I suggest, yes, please use my my house","O K. Yeah. Thank you very much. The role play is over. So, do you have any experience like this? You made appointment with your friend but you couldn't make ?","Uh-hum . O K. If you are in the situation like this role play ,",20,35,65,0,0,"Formality 30로; Intimacy 45로; 근거 F1/F2·E1·I1·H1·C1: F=구어적 연결과 자기수정이 많은 설명; E=긴 설명이지만 강한 흥분 표현은 없음; I=남편과 모임 생활 공개 및 집 제공의 환대; H=일상 모임 설명; C=정보를 요구하지 않음"
gold-0107,Is it ur urm it's now it's winter but but now it's winter,Urr Indonesia or Malaysia.,Mhm,15,30,10,75,0,"Formality 30로; Energy 25로; Intimacy 5로; Curiosity 40로; 근거 F1/F2·E1·I1·H1·C1: F=불완전한 질문 시작과 반복; E=뚜렷한 정서 강조 없음; I=계절에 관한 비개인적 내용; H=반복 자체는 유머가 아님; C=Is it로 확인을 시작하나 질문 내용이 불완전"
gold-0108,"Or ur ""Please omit the or whatever is inside",Mm mm .,Mhm .,35,15,0,10,0,"Energy 25로; Intimacy 5로; Curiosity 5로; 근거 F1/F2·E1·I1·H1·C1: F=구어 단편 속 Please 요청 표현; E=강조 없는 단편; I=개인 관계 신호 없음; H=불완전한 인용이며 익살 근거 없음; C=생략 요청의 인용으로 보이며 정보 질문 근거가 약함"
gold-0109,"I'd like to pay by credit card, please",Would you like to pay er by credit card or by cash?,O K. It's ten thousand yen.,60,20,0,10,0,"Formality 65로; Energy 25로; Intimacy 5로; 근거 F1/F2·E1·I1·H1·C1: F=I'd like와 please의 정중한 요청; E=차분한 결제 의사; I=거래 목적의 예의; H=문자적 결제 요청; C=행동 요청이며 정보 탐색은 약함"
gold-0110,How much does it cost to go by express,Yes. Of course.,Express. Ah thirty-five.,45,25,0,90,0,"Energy 30로; Intimacy 5로; Curiosity 65로; 근거 F1/F2·E1·I1·H1·C1: F=중립적인 직접 질문; E=강조 없는 요금 확인; I=거래 목적; H=유머 단서 없음; C=급행 이용 금액을 묻는 사실 질문"
