annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
first40,train,first40-0028,D,I'm great. How are you?,,,,,,,pending,
first40,train,first40-0050,D,What's the average price looking like?,,,,,,,pending,
first40,train,first40-0015,D,"Chris Dowling Okay, cool.",,,,,,,pending,
first40,train,first40-0021,D,"Traffic is so terrible, I think",,,,,,,pending,
first40,train,first40-0029,D,"And do you have another idea that urr if you have some place that you umm you love very much, and you have at you've ever been there",,,,,,,pending,
first40,train,first40-0024,D,"Urm nearly fine, but kind of sleepy",,,,,,,pending,
first40,train,first40-0013,D,Urr I love dog But I can't take it home,,,,,,,pending,
first40,train,first40-0049,D,"And this person who was, er driving the motorcycle, he was quite angry because he was really having a really nice conversation with his girlfriend",,,,,,,pending,
first40,train,first40-0003,D,"Tim, can you start?",,,,,,,pending,
first40,train,first40-0023,D,Sounds brilliant to me.,,,,,,,pending,
first40,train,first40-0037,D,"Awesome, thank you. What is the price?",,,,,,,pending,
first40,train,first40-0009,D,and if you disable speech recognition system then?,,,,,,,pending,
first40,train,first40-0005,D,"Because mm dog is really loyal to any other human beings On the other hand, cat is not",,,,,,,pending,
first40,train,first40-0046,D,And mm the basically I think it's basically er love story,,,,,,,pending,
first40,train,first40-0039,D,Well do you know some err windows company or fixing company or anything,,,,,,,pending,
first40,train,first40-0033,D,May I have a question,,,,,,,pending,
first40,train,first40-0006,D,Feel like feel like feel like fallingly falling in love,,,,,,,pending,
first40,train,first40-0004,D,So did you have any recommend bag,,,,,,,pending,
first40,train,first40-0007,D,Um but have you any idea so far as what uh the user requirements are?,,,,,,,pending,
first40,train,first40-0045,D,"I just love you tech guys, huh.",,,,,,,pending,
first40,train,first40-0038,D,Do you have any kind of express,,,,,,,pending,
first40,train,first40-0016,D,"Awesome, can you also tell me how long the movie is?",,,,,,,pending,
first40,train,first40-0002,D,How much er each each other,,,,,,,pending,
first40,train,first40-0026,D,"Yeah I'm I'm no I'm not definitely convinced it's it's the best way to if you wanna jump from, I dunno, one to twenty?",,,,,,,pending,
first40,train,first40-0018,D,Why are you looking at me?,,,,,,,pending,
first40,train,first40-0043,D,"Fantastic, do they offer craft bear at that option?",,,,,,,pending,
first40,train,first40-0011,D,"Great, thank you. Goodbye.",,,,,,,pending,
first40,train,first40-0036,D,and uh the technology that was in that one wasn't particularly amazing,,,,,,,pending,
first40,train,first40-0031,D,"uhm I'm looking forward to seeing er er ""Wednesday Love Affair""",,,,,,,pending,
first40,train,first40-0044,D,Ah would you explain what's the difference,,,,,,,pending,
first40,train,first40-0047,D,Yeah. Fine. Beautiful. Wonderful.,,,,,,,pending,
first40,train,first40-0041,D,Can I describe another the this picture,,,,,,,pending,
first40,train,first40-0032,D,What do I miss most about America,,,,,,,pending,
first40,train,first40-0034,D,Does Basil serve nonalcoholic beverages?,,,,,,,pending,
first40,train,first40-0025,D,"Yeah. Good morning, Assistant.",,,,,,,pending,
first40,train,first40-0001,D,so if we were uh definitely gonna go with the the voice option we'd probably have to design um our own chip.,,,,,,,pending,
first40,train,first40-0035,D,"Um so uum of course, er I love him and I I was crying heavily",,,,,,,pending,
first40,train,first40-0019,D,I think compared to say just pressing buttons.,,,,,,,pending,
first40,train,first40-0042,D,I hate my dog But I can't come to your party,,,,,,,pending,
first40,train,first40-0022,D,Is that er discount,,,,,,,pending,
first40,train,first40-0048,D,But it's very eeh fantastic city for me,,,,,,,pending,
first40,train,first40-0010,D,"I want to uhm I can enjoy I can't enjoy matsuri , but I can enjoy sports uhm or uhm so I I don't know why people uh excited in matsuri",,,,,,,pending,
first40,train,first40-0017,D,"Yes, could I please have five splendors?",,,,,,,pending,
first40,train,first40-0012,D,"Nay that that that's true, that's true. They're definitely needed.",,,,,,,pending,
first40,train,first40-0027,D,Can you give me an overview of the reviews of the restaurant? Are they mostly positive?,,,,,,,pending,
first40,train,first40-0008,D,and then it go,,,,,,,pending,
first40,train,first40-0020,D,Okay. Do they have a kid's menu?,,,,,,,pending,
first40,train,first40-0014,D,are particularly bothering you?,,,,,,,pending,
first40,train,first40-0030,D,What do I usually do,,,,,,,pending,
first40,train,first40-0040,D,"Anyone, just one that's ASAP, the next showing today.",,,,,,,pending,
